parameter_name,wwh,swh,mai,ri1,ri2,soy,mil,sor,pea,sgb,cas,rap,sun,nut,sgc
photosens,long,long,short,short,short,short,short,short,long,long,short,long,long,long,long
basetemp,0,0,5,8,8,7,8,8,1,3,15,0,6,14,12
basetemp2,0,0,5,8,8,7,8,8,1,3,15,0,6,14,12
basephoto,8,8,24,24,24,24,24,24,8,8,24,8,8,8,8
fphu.ant,0.45,0.45,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.4,0.4,0.4
vern.temp.min,-4,,,,,,,,,,,-4,,,
vern.temp.opt.min,3,,,,,,,,,,,3,,,
vern.temp.opt.max,10,,,,,,,,,,,10,,,
vern.temp.max,17,,,,,,,,,,,17,,,
max.vern.days,70,,,,,,,,,,,70,,,